name,lon_min,lat_min,lon_max,lat_max
cusco,-72.007141,-13.569907,-71.861916,-13.489128
lima,-77.202988,-12.284992,-76.856232,-11.800146
arequipa,-71.685448,-16.492057,-71.437912,-16.289165
traujillo,-79.099503,-8.186684,-78.931961,-7.946357
piura,-80.691490,-5.240538,-80.559483,-5.137792
huaral,-77.243242,-11.507781,-77.191744,-11.467912
